Table 2.
        Inverse rank order of probe set signals (as % of wild-type) in pcd3J cerebellum
Gene symbol,Gene title,Probe set name,%a
,15 days embryo head cDNA<comma> RIKEN full-length enriched library<comma> clone:D930002I12 product: unclassifiable<comma> full insert sequence,1456130_at,23.94
Fabp7,fatty acid binding protein 7<comma> brain,1450779_at,24.33
Kitl,kit ligand,1448117_at,24.70
3830431G21Rik,RIKEN cDNA 3830431G21 gene,1436035_at,24.74
1110037N09Rik,RIKEN cDNA 1110037N09 gene,1428657_at,25.25
9330118A15Rik,RIKEN cDNA 9330118A15 gene,1446612_at,25.75
Alad,aminolevulinate<comma> δ-<comma> dehydratase,1457306_at,25.79
Nsddr,neural stem cell-derived dendrite regulator,1455448_at,25.81
Cdc42ep4,CDC42 effector protein (Rho GTPase binding) 4,1436801_x_at,25.95
,10 days neonate cerebellum cDNA<comma> RIKEN full-length enriched library<comma> clone:6530427L06 product: unknown EST<comma> full insert sequence,1438073_at,26.87
,,1457011_at,26.91
,10 days neonate cerebellum cDNA<comma> RIKEN full-length enriched library<comma> clone:B930095L19 product: unknown EST<comma> full insert sequence,1438310_at,27.32
,Transcribed sequences,1441785_at,27.61
Homer3,homer homolog 3 (Drosophila),1424859_at,27.80
D6Wsu116e,DNA segment<comma> Chr 6<comma> Wayne State University 116<comma> expressed,1456056_a_at,27.82
Dner,δ/notch-like EGF-related receptor,1423671_at,27.87
2310076G05Rik,RIKEN cDNA 2310076G05 gene,1442077_at,28.00
Atp2a3,ATPase<comma> Ca+ transporting<comma> ubiquitous,1421129_a_at,28.17
9330188N17Rik,RIKEN cDNA 9330188N17 gene,1439117_at,28.33
D6Wsu116e,DNA segment<comma> Chr 6<comma> Wayne State University 116<comma> expressed,1433588_at,28.46
Kcnip1,Kv channel-interacting protein 1,1416785_at,28.50
Fgf7,fibroblast growth factor 7,1422243_at,28.81
AK129341,cDNA sequence AK129341,1445173_at,28.98
Grid2,glutamate receptor<comma> ionotropic<comma> δ2,1435487_at,30.17
Slc1a3,solute carrier family 1 (glial high affinity glutamate transporter)<comma> member 3,1452031_at,30.29
Dner,δ/notch-like EGF-related receptor,1456379_x_at,30.33
,,1447771_at,30.35
,Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI β-galactosidase,1455512_at,30.89
6430601K09Rik,RIKEN cDNA 6430601K09 gene,1436661_at,31.38
Lrrfip1,leucine rich repeat (in FLII) interacting protein 1,1448487_at,31.45
Atp2a3,ATPase<comma> Ca+ transporting<comma> ubiquitous,1450124_a_at,31.57
3110001A13Rik,RIKEN cDNA 3110001A13 gene,1416892_s_at,31.90
Sbk,SH3-binding kinase,1423978_at,32.51
Thy1,thymus cell antigen 1<comma> θ,1423135_at,32.70
D630041K24Rik,RIKEN cDNA D630041K24 gene,1452890_at,32.87
Sycp1,synaptonemal complex protein 1,1427291_at,33.16
A930006D11,hypothetical protein A930006D11,1438340_at,33.61
2410129E14Rik,RIKEN cDNA 2410129E14 gene,1452679_at,33.86
C030032C09Rik,RIKEN cDNA C030032C09 gene,1457990_at,34.07
1200015F23Rik,RIKEN cDNA 1200015F23 gene,1428196_a_at,34.13
Cerk,ceramide kinase,1434034_at,34.17
,Transcribed sequence with weak similarity to protein pir:A43932 (H. sapiens) A43932 mucin 2 precursor<comma> intestinal-human,1442751_at,34.21
Kcnab1,potassium voltage-gated channel<comma> shaker-related subfamily<comma> β member 1,1448468_a_at,34.59
1200015F23Rik,RIKEN cDNA 1200015F23 gene,1452704_at,34.96
6230425F05Rik,RIKEN cDNA 6230425F05 gene,1437254_at,35.07
BC055107,cDNA sequence BC055107,1435918_at,35.71
1500016L03Rik,RIKEN cDNA 1500016L03 gene,1439232_at,35.77
Doc2b,double C2<comma> β,1420666_at,36.04
Steap2,six transmembrane epithelial antigen of prostate 2,1446071_at,36.07
2400009B08Rik,RIKEN cDNA 2400009B08 gene,1439834_at,36.37
Hapln4,hyaluronan and proteoglycan link protein 4,1435650_at,36.39
Ptprr,protein tyrosine phosphatase<comma> receptor type<comma> R,1426047_a_at,36.41
1500009C09Rik,RIKEN cDNA 1500009C09 gene,1452827_at,36.54
Igfbp5,insulin-like growth factor binding protein 5,1452114_s_at,36.72
Slc1a3,solute carrier family 1 (glial high affinity glutamate transporter)<comma> member 3,1443749_x_at,37.00
Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2,1417299_at,37.11
AI848122,expressed sequence AI848122,1442347_at,37.76
Ywhah,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein<comma> η polypeptide,1416004_at,38.01
Cdgap,Cdc42 GTPase-activating protein,1455164_at,38.03
Clstn2,calsyntenin 2,1441165_s_at,38.07
1500004O14Rik,RIKEN cDNA 1500004O14 gene,1439266_a_at,38.43
Spnb3,spectrin β3,1452269_at,38.47
Syt7,synaptotagmin 7,1441927_at,38.53
Cds1,CDP-diacylglycerol synthase 1,1428680_at,38.62
BC055107,cDNA sequence BC055107,1434203_at,38.69
3110001A13Rik,RIKEN cDNA 3110001A13 gene,1416893_at,38.86
Thsd2,thrombospondin<comma> type I<comma> domain 2,1455607_at,39.08
Itgb1bp1,integrin β1 binding protein 1,1422157_a_at,39.11
Mtss1,metastasis suppressor 1,1434036_at,39.15
,0 day neonate eyeball cDNA<comma> RIKEN full-length enriched library<comma> clone:E130001F20 product: hypothetical protein<comma> full insert sequence,1442823_at,39.30
Hspa12a,heat shock 70-kDa protein 12A,1434051_s_at,39.34
,transcribed sequences,1455165_at,39.46
6330404E20Rik,RIKEN cDNA 6330404E20 gene,1428268_at,39.50
Zdhhc14,zinc finger<comma> DHHC domain containing 14,1438619_x_at,39.54
Kctd12,potassium channel tetramerisation domain containing 12,1434881_s_at,40.41
Kif5a,kinesin family member 5A,1434670_at,40.41
Zdhhc14,zinc finger<comma> DHHC domain containing 14,1437614_x_at,40.65
4932443D16Rik,RIKEN cDNA 4932443D16 gene,1428344_at,40.74
Atrnl,attractin like protein,1419922_s_at,41.11
Kcnab1,potassium voltage-gated channel<comma> shaker-related subfamily<comma> β member 1,1454043_a_at,41.24
Slc1a3,solute carrier family 1 (glial high affinity glutamate transporter)<comma> member 3,1426341_at,41.48
Bcar1,breast cancer anti-estrogen resistance 1,1450622_at,41.72
H2-K1,histocompatibility 2<comma> K1<comma> K region,1451931_x_at,41.85
H2-K1,histocompatibility 2<comma> K1<comma> K region,1425545_x_at,41.95
AI593442,expressed sequence AI593442,1434052_at,41.99
1810034B16Rik,RIKEN cDNA 1810034B16 gene,1427101_at,42.07
Car7,carbonic anhydrase 7,1443824_s_at,42.23
Zdhhc14,zinc finger<comma> DHHC domain containing 14,1438975_x_at,42.28
Kcng4,potassium voltage-gated channel<comma> subfamily G<comma> member 4,1428536_at,42.83
BC055107,cDNA sequence BC055107,1434202_a_at,42.95
Spnb3,spectrin β3,1441298_at,43.03
Mpp6,membrane protein<comma> palmitoylated 6 (MAGUK p55 subfamily member 6),1449348_at,43.44
Mtss1,metastasis suppressor 1,1424826_s_at,43.51
,,1439388_s_at,43.53
Cthrc1,collagen triple helix repeat containing 1,1452968_at,43.57
2610029I01Rik,RIKEN cDNA 2610029I01 gene,1428897_at,43.61
Cabc1,chaperone<comma> ABC1 activity of bc1 complex like (S. pombe),1436380_at,43.66
A830073O21Rik,RIKEN cDNA A830073O21 gene,1434273_at,43.73
AI851712,expressed sequence AI851712,1456838_at,44.10
A830039N20Rik,RIKEN cDNA A830039N20 gene,1455554_at,44.19
Daam1,dishevelled associated activator of morphogenesis 1,1458662_at,44.20
,Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI β-galactosidase,1455970_at,44.44
Plxdc1,plexin domain containing 1,1424902_at,44.48
Cacng5,calcium channel<comma> voltage-dependent<comma> γ subunit 5,1434785_at,44.67
Sepw1,selenoprotein W<comma> muscle 1,1416521_at,44.71
,18-day embryo whole body cDNA<comma> RIKEN full-length enriched library<comma> clone:1110032O22 product: RNA component of mitochondrial RNAase P<comma> 1<comma> full insert sequence,1451370_at,45.24
Rasl11b,RAS-like<comma> family 11<comma> member B,1423854_a_at,45.26
Hsp105,heat shock protein 105,1425993_a_at,45.39
4930534K13Rik,RIKEN cDNA 4930534K13 gene,1435226_at,45.77
Atp2b2,ATPase<comma> Ca+ transporting<comma> plasma membrane 2,1420403_at,45.94
Cap2,CAP<comma> adenylate cyclase-associated protein<comma> 2 (yeast),1423222_at,46.17
Dgkz,diacylglycerol kinase ζ,1426738_at,46.23
Sept4,septin 4,1448729_a_at,46.27
Grid2,glutamate receptor<comma> ionotropic<comma> δ2,1421436_at,46.39
Sepw1,selenoprotein W<comma> muscle 1,1460561_x_at,46.46
Slc5a1,solute carrier family 5 (sodium/glucose cotransporter)<comma> member 1,1419057_at,46.80
3110001A13Rik,RIKEN cDNA 3110001A13 gene,1448509_at,46.81
Tm6sf1,transmembrane 6 superfamily member 1,1451353_at,46.82
2410018L13Rik,RIKEN cDNA 2410018L13 gene,1448812_at,47.07
Cpeb1,cytoplasmic polyadenylation element binding protein 1,1417960_at,47.07
Flrt3,fibronectin leucine-rich transmembrane protein 3,1453102_at,47.45
Wdr10,WD repeat domain 10,1441259_s_at,47.47
AI843190,expressed sequence AI843190,1439957_at,47.71
1010001P06Rik,RIKEN cDNA 1010001P06 gene,1451707_s_at,47.75
Akap2,A kinase (PRKA) anchor protein 2,1449168_a_at,47.80
AI854036,expressed sequence AI854036,1455410_at,47.92
2810457I06Rik,RIKEN cDNA 2810457I06 gene,1435703_at,47.92
4933414I06Rik,RIKEN cDNA 4933414I06 gene,1432465_at,47.95
5430401D19Rik,RIKEN cDNA 5430401D19 gene,1424852_at,48.12
Steap2,six transmembrane epithelial antigen of prostate 2,1438773_at,48.13
,,1458341_x_at,48.16
Grid2,glutamate receptor<comma> ionotropic<comma> δ2,1421435_at,48.25
,Transcribed sequences,1445479_at,48.28
LOC381813,protein arginine N-methyltransferase 4,1435204_at,48.31
A730024F05Rik,RIKEN cDNA A730024F05 gene,1430995_at,48.37
H2-K1,histocompatibility 2<comma> K1<comma> K region,1451683_x_at,48.39
BC020184,cDNA sequence BC020184,1424386_at,48.57
4933402K10Rik,RIKEN cDNA 4933402K10 gene,1422293_a_at,48.74
5730414M22Rik,RIKEN cDNA 5730414M22 gene,1428948_at,48.81
Scn4b,sodium channel<comma> type IV<comma> β polypeptide,1434008_at,48.81
Car7,carbonic anhydrase 7,1452484_at,48.83
Nef3,neurofilament 3<comma> medium,1422520_at,48.91
D8Ertd531e,DNA segment<comma> Chr 8<comma> ERATO Doi 531<comma> expressed,1429363_at,48.92
C030032C09Rik,RIKEN cDNA C030032C09 gene,1452938_at,49.02
4933432P15Rik,RIKEN cDNA 4933432P15 gene,1435694_at,49.03
Dlgh2,discs<comma> large homolog 2 (Drosophila),1437927_at,49.17
Spag1,sperm associated antigen 1,1419588_at,49.32
B3gat1,β-1<comma>3-glucuronyltransferase 1 (glucuronosyltransferase P),1454821_at,49.51
Steap2,six transmembrane epithelial antigen of prostate 2,1428636_at,49.59
,Transcribed sequences,1440545_at,49.67
Asph,aspartate-β-hydroxylase,1426015_s_at,49.80
0610007P14Rik,RIKEN cDNA 0610007P14 gene,1454161_s_at,49.86
Rdh11,retinol dehydrogenase 11,1418760_at,49.92
