Gene symbol	Fold Change	Log fold change	Adjusted p-value	Description
KCNJ12	2.022	1.016	8.207E-08	
VCAM1	2.227	1.155	8.857E-08	Transcribed locus
CTSE	3.085	1.625	1.010E-07	
CLECSF12	2.933	1.552	1.116E-07	
LOC100048461	3.662	1.873	1.212E-07	
IFITM2	3.119	1.641	1.418E-07	
LYZ	1.974	0.981	1.689E-07	lysozyme
ID2	1.85	0.888	1.739E-07	Inhibitor of DNA binding 2
LOC641240	3.041	1.605	2.020E-07	
CST7	3.04	1.604	2.369E-07	
CD164	0.815	-0.295	3.049E-07	CD164 antigen
CD48	1.763	0.818	3.461E-07	CD48 antigen
FXYD5	3.274	1.711	4.091E-07	
CD52	1.47	0.556	4.272E-07	
RSAD2	3.067	1.617	5.009E-07	Transcribed locus
CD44	2.897	1.535	5.711E-07	CD44 antigen
FCGR4	1.376	0.461	5.719E-07	Fc receptor, IgG, low affinity IV
LGALS3	2.8	1.485	5.988E-07	Lectin, galactose binding, soluble 3
LGALS3BP	2.859	1.516	5.988E-07	Lectin, galactoside-binding, soluble, 3 binding protein
INSIG1	1.441	0.527	6.165E-07	Insulin induced gene 1
CHST1	2.133	1.093	6.186E-07	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
PDGFA	1.204	0.268	8.056E-07	
H2-AB1	3.038	1.603	8.458E-07	Histocompatibility 2, class II antigen A, beta 1
RPL38	1.288	0.366	9.062E-07	Transcribed locus, strongly similar to XP_001083966.1 similar to 60S ribosomal protein L38 [Macaca
HMGN3	2.012	1.008	9.574E-07	Transcribed locus
OPTN	1.884	0.913	1.045E-06	Optineurin
IFIT3	2.348	1.231	1.099E-06	Interferon-induced protein with tetratricopeptide repeats 3
IQGAP1	2.472	1.305	1.409E-06	IQ motif containing GTPase activating protein 1
RAP2B	1.663	0.734	1.409E-06	RAP2B, member of RAS oncogene family
CYBB	3.686	1.882	2.050E-06	Cytochrome b-245, beta polypeptide
ADSSL1	1.737	0.797	2.061E-06	Adenylosuccinate synthetase like 1
OASL2	2.885	1.529	2.074E-06	2'-5' oligoadenylate synthetase-like 2
STAT1	1.368	0.452	2.275E-06	Signal transducer and activator of transcription 1
LYZS	1.886	0.915	2.301E-06	
RASSF3	1.486	0.572	2.727E-06	Ras association (RalGDS/AF-6) domain family 3
MMP12	4.388	2.134	3.637E-06	Matrix metallopeptidase 12
IL1B	1.287	0.365	3.637E-06	
ELL2	1.754	0.81	3.637E-06	Elongation factor RNA polymerase II 2
5430435G22RIK	3.151	1.656	3.637E-06	Transcribed locus
FTH1	1.266	0.34	3.834E-06	Transcribed locus
H2-EB1	3.393	1.763	4.170E-06	Transcribed locus
D14ERTD668E	1.584	0.664	4.309E-06	
C4B	1.877	0.909	4.521E-06	
CLIC4	2.009	1.006	4.874E-06	Chloride intracellular channel 4 (mitochondrial)
ITGAX	1.76	0.816	4.874E-06	Integrin alpha X
ABHD6	0.588	-0.765	5.186E-06	Abhydrolase domain containing 6
CDKN2AIP	0.563	-0.829	5.186E-06	Transcribed locus
STAT2	1.744	0.802	5.964E-06	Signal transducer and activator of transcription 2
SLC2A6	1.517	0.601	6.008E-06	
APLP2	1.189	0.25	7.349E-06	Amyloid beta (A4) precursor-like protein 2
RPL39	1.178	0.236	7.409E-06	Transcribed locus
LOC100039571	1.279	0.356	7.810E-06	
LOC56628	1.635	0.709	8.083E-06	
LOC100039636	1.394	0.479	8.095E-06	
NAMPT	1.509	0.594	8.494E-06	Pre-B-cell colony-enhancing factor 1
USP18	2.405	1.266	1.044E-05	Ubiquitin specific peptidase 18
2010002N04RIK	1.389	0.474	1.046E-05	
DNA2	1.519	0.603	1.072E-05	DNA2 DNA replication helicase 2-like (yeast)
CD69	1.358	0.442	1.287E-05	
LOC100048187	1.4	0.485	1.413E-05	
ECHS1	1.217	0.283	1.518E-05	Transcribed locus
LOC100048346	1.527	0.61	1.539E-05	
CSTB	1.497	0.582	1.542E-05	
TMEM49	1.742	0.801	1.634E-05	
V1RD6	2.352	1.234	1.660E-05	
NIT1	0.765	-0.386	1.981E-05	CDNA, clone:Y0G0132H14, strand:minus, reference:ENSEMBL:Mouse-Transcript-ENST:ENSMUST00000014141, ba
ANXA5	1.629	0.704	2.042E-05	Annexin A5
GLT25D1	1.464	0.55	2.050E-05	Glycosyltransferase 25 domain containing 1
BNC2	1.421	0.507	2.188E-05	Basonuclin 2
B2M	1.197	0.259	2.262E-05	Transcribed locus
IFI204	1.492	0.577	2.378E-05	Interferon activated gene 204
ANXA2	2.475	1.307	2.409E-05	
AMIGO1	0.687	-0.542	2.508E-05	Adhesion molecule with Ig like domain 1
CAPG	2.195	1.134	2.794E-05	Capping protein (actin filament), gelsolin-like
LOC100039532	1.3	0.379	2.921E-05	
EGR2	2.566	1.36	2.921E-05	Early growth response 2
IFIT2	1.37	0.454	2.921E-05	Interferon-induced protein with tetratricopeptide repeats 2
SLAMF9	1.465	0.551	3.004E-05	SLAM family member 9
LMNB1	1.478	0.563	3.204E-05	Lamin B1
ST8SIA6	2.592	1.374	3.338E-05	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6
SDC3	2.113	1.079	3.690E-05	Syndecan 3
SRGN	1.506	0.59	3.690E-05	
SAMD9L	1.891	0.919	3.703E-05	
NCK1	0.661	-0.598	3.814E-05	Transcribed locus
SPP1	5.528	2.467	4.428E-05	
H2-M2	2.478	1.309	4.500E-05	Histocompatibility 2, M region locus 2
CH25H	1.798	0.847	4.810E-05	Cholesterol 25-hydroxylase
ANXA3	1.291	0.369	4.948E-05	
IL16	0.83	-0.269	4.998E-05	Interleukin 16
RPS8	1.586	0.666	5.222E-05	Similar to ribosomal protein S8
BRI3	1.187	0.248	5.329E-05	
PNMA2	0.529	-0.92	5.331E-05	Transcribed locus
CXCL14	1.388	0.473	5.393E-05	Chemokine (C-X-C motif) ligand 14
ALCAM	1.497	0.582	6.183E-05	Activated leukocyte cell adhesion molecule
RGS7BP	0.779	-0.361	6.263E-05	Regulator of G-protein signalling 7 binding protein
TANK	1.324	0.405	6.508E-05	TRAF family member-associated Nf-kappa B activator
ARHGAP29	0.75	-0.415	6.741E-05	Rho GTPase activating protein 29
SCOC	0.751	-0.413	7.025E-05	Short coiled-coil protein
EPB4.1L3	1.261	0.335	7.210E-05	Erythrocyte protein band 4.1-like 3
CHMP1B	0.807	-0.309	7.210E-05	Transcribed locus
PPM1L	0.503	-0.991	7.331E-05	Protein phosphatase 1 (formerly 2C)-like
DNAJB1	0.629	-0.668	7.331E-05	DnaJ (Hsp40) homolog, subfamily B, member 1
ZFP641	1.408	0.493	7.550E-05	Zinc finger protein 641
NFKBIZ	1.501	0.586	7.782E-05	
COPS2	0.761	-0.394	9.422E-05	COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana)
MSR2	0.686	-0.543	9.422E-05	
EED	0.765	-0.387	1.010E-04	Embryonic ectoderm development
HDGFRP3	0.709	-0.497	1.013E-04	Transcribed locus
TJP1	0.825	-0.277	1.022E-04	Transcribed locus, strongly similar to XP_001058833.1 similar to tight junction protein 1 [Rattus n
MDFIC	1.508	0.593	1.075E-04	MyoD family inhibitor domain containing
IFIT1	1.399	0.485	1.112E-04	Interferon-induced protein with tetratricopeptide repeats 1
IL2RG	1.377	0.461	1.184E-04	Interleukin 2 receptor, gamma chain
SLC40A1	0.818	-0.289	1.201E-04	Solute carrier family 40 (iron-regulated transporter), member 1
BCL6	1.239	0.31	1.236E-04	B-cell leukemia/lymphoma 6
ADAM17	0.845	-0.242	1.236E-04	A disintegrin and metallopeptidase domain 17
ST14	1.196	0.259	1.236E-04	Suppression of tumorigenicity 14 (colon carcinoma)
GPR65	1.637	0.711	1.242E-04	G-protein coupled receptor 65
CLEC1A	1.332	0.414	1.263E-04	Transcribed locus
NPM1	1.272	0.347	1.263E-04	Transcribed locus, strongly similar to NP_002511.1 1 isoform 1 [Homo sapiens]
C3	1.729	0.79	1.350E-04	Complement component 3
CD63	1.582	0.662	1.351E-04	Transcribed locus, weakly similar to XP_001111245.1 CD63 molecule isoform 2 [Macaca mulatta]
EGR1	2.596	1.376	1.351E-04	Early growth response 1
COX6A2	1.529	0.613	1.470E-04	
AI504432	1.37	0.454	1.504E-04	
MRPL50	0.739	-0.435	1.511E-04	Mitochondrial ribosomal protein L50
CD9	1.85	0.888	1.605E-04	CD9 antigen
STARD8	0.662	-0.595	1.748E-04	START domain containing 8
SH3BGRL	2.333	1.222	1.789E-04	SH3-binding domain glutamic acid-rich protein like
RPL22L1	1.51	0.595	1.817E-04	
GHR	1.566	0.647	1.817E-04	Growth hormone receptor
CDC42EP3	1.292	0.369	1.830E-04	CDC42 effector protein (Rho GTPase binding) 3
NEURL	0.696	-0.522	1.847E-04	
ZCCHC3	0.74	-0.434	1.870E-04	Zinc finger, CCHC domain containing 3
LOX	2.129	1.09	1.870E-04	Lysyl oxidase
LYZ2	2.407	1.268	1.870E-04	Lysozyme
ZFP597	0.715	-0.483	1.870E-04	Zinc finger protein 597
KTELC1	0.806	-0.312	1.896E-04	
NDFIP2	0.754	-0.407	2.080E-04	Transcribed locus, weakly similar to XP_001095360.1 similar to Nedd4 family interacting protein 1 [
1200002N14RIK	1.88	0.911	2.202E-04	
PECAM1	0.532	-0.912	2.208E-04	Platelet/endothelial cell adhesion molecule 1
ARSB	0.738	-0.438	2.268E-04	Arylsulfatase B
CIB1	0.77	-0.377	2.268E-04	
RPL9	1.305	0.384	2.427E-04	Transcribed locus, moderately similar to XP_001092114.1 similar to ribosomal protein L9 [Macaca mul
SREBF2	1.726	0.787	2.430E-04	Sterol regulatory element binding factor 2
APOBEC3	1.245	0.316	2.430E-04	Transcribed locus
LOC675813	1.215	0.281	2.430E-04	
GCNT2	1.208	0.272	2.454E-04	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
SNTA1	0.58	-0.785	2.485E-04	Syntrophin, acidic 1
ANKS6	0.674	-0.57	2.523E-04	Ankyrin repeat and sterile alpha motif domain containing 6
LOC100043257	2.511	1.328	2.523E-04	
PLAUR	1.644	0.717	2.672E-04	
PAIP2	0.761	-0.393	2.703E-04	Polyadenylate-binding protein-interacting protein 2
CSF1	1.366	0.45	2.754E-04	Colony stimulating factor 1 (macrophage)
TRP53INP2	1.494	0.579	2.848E-04	Transformation related protein 53 inducible nuclear protein 2
TRAK2	1.306	0.386	2.897E-04	Trafficking protein, kinesin binding 2
EG240327	1.43	0.516	3.136E-04	
IGF2R	2.449	1.292	3.185E-04	Insulin-like growth factor 2 receptor
TBC1D8	1.213	0.279	3.188E-04	TBC1 domain family, member 8
TGFBI	1.66	0.731	3.192E-04	Transforming growth factor, beta induced
GM2A	1.142	0.192	3.203E-04	GM2 ganglioside activator protein
MS4A6D	1.2	0.264	3.248E-04	Membrane-spanning 4-domains, subfamily A, member 6D
4933439C20RIK	1.329	0.41	3.248E-04	
ZFP748	0.709	-0.496	3.254E-04	Zinc finger protein 748
TRPV4	1.561	0.642	3.307E-04	Transient receptor potential cation channel, subfamily V, member 4
TMEM205	1.367	0.451	3.352E-04	
SLC24A3	0.649	-0.623	3.370E-04	Solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
FBXO30	0.625	-0.678	3.423E-04	F-box protein 30
GNG2	0.902	-0.149	3.510E-04	Transcribed locus
TMEM154	2.266	1.18	3.547E-04	Transmembrane protein 154
MAP2K1	0.872	-0.198	3.756E-04	Mitogen activated protein kinase kinase 1
FOXO1	0.802	-0.319	3.768E-04	Forkhead box O1
DHX58	1.545	0.628	3.902E-04	DEXH (Asp-Glu-X-His) box polypeptide 58
RNASE4	0.837	-0.257	3.984E-04	Ribonuclease, RNase A family 4
F11R	0.767	-0.384	3.984E-04	F11 receptor
ERMP1	0.738	-0.439	4.060E-04	Endoplasmic reticulum metallopeptidase 1
FERT2	0.868	-0.204	4.065E-04	Fer (fms/fps related) protein kinase, testis specific 2
MARCKSL1	1.268	0.342	4.249E-04	MARCKS-like 1
ALDH1L2	0.742	-0.431	4.274E-04	Aldehyde dehydrogenase 1 family, member L2
TUBB2A	0.694	-0.527	4.351E-04	
TMEM135	0.719	-0.477	4.458E-04	Transmembrane protein 135
RPS24	1.228	0.297	4.458E-04	Transcribed locus, weakly similar to XP_001092393.1 similar to ribosomal protein S24 [Macaca mulatt
MUTED	0.701	-0.513	4.463E-04	
GPR84	1.592	0.671	4.492E-04	G protein-coupled receptor 84
RRAS2	0.727	-0.46	4.535E-04	Transcribed locus
TNFSF13B	1.467	0.553	4.578E-04	
TMEM111	0.844	-0.245	4.801E-04	
USP38	0.648	-0.626	5.584E-04	Ubiquitin specific peptidase 38
CD83	1.257	0.33	5.589E-04	Transcribed locus
ZBTB44	0.82	-0.287	6.011E-04	
FCHSD2	0.833	-0.264	6.038E-04	FCH and double SH3 domains 2
H2-T23	1.426	0.512	6.120E-04	
PARP14	1.394	0.479	6.209E-04	Poly (ADP-ribose) polymerase family, member 14
PIRA11	1.175	0.233	6.294E-04	Paired-Ig-like receptor A11
NCBP2	0.765	-0.386	6.298E-04	Nuclear cap binding protein subunit 2
ANP32A	0.79	-0.339	6.326E-04	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
HSD17B7	1.578	0.658	6.451E-04	Hydroxysteroid (17-beta) dehydrogenase 7
FXC1	0.625	-0.679	6.472E-04	
PABPC1	1.273	0.348	6.487E-04	Transcribed locus
IDI1	1.484	0.57	6.649E-04	Isopentenyl-diphosphate delta isomerase
GPNMB	2.081	1.058	6.698E-04	Glycoprotein (transmembrane) nmb
BBS12	1.384	0.469	6.956E-04	Bardet-Biedl syndrome 12 (human)
SLCO2B1	0.863	-0.213	6.956E-04	Solute carrier organic anion transporter family, member 2b1
NRARP	0.622	-0.685	6.976E-04	Transcribed locus
SLC1A4	0.69	-0.534	6.976E-04	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4
GPR109A	1.225	0.293	7.153E-04	
RAB3D	1.797	0.845	7.222E-04	RAB3D, member RAS oncogene family
4930432O21RIK	0.79	-0.339	7.875E-04	
P4HA1	0.704	-0.506	7.875E-04	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide
TRIM30	1.254	0.327	7.875E-04	
RHOT1	0.792	-0.337	7.875E-04	Ras homolog gene family, member T1
CMTM7	0.705	-0.505	8.119E-04	
BCL2L2	1.523	0.607	8.232E-04	Bcl2-like 2
EIF3F	1.362	0.445	8.495E-04	Eukaryotic translation initiation factor 3, subunit F
IKZF1	0.854	-0.228	8.667E-04	IKAROS family zinc finger 1
HAAO	1.369	0.454	8.829E-04	
OAS1G	1.402	0.488	8.829E-04	2'-5' oligoadenylate synthetase 1G
EIF1A	1.388	0.473	8.993E-04	Eukaryotic translation initiation factor 1A
CCDC12	0.694	-0.527	9.097E-04	
ANXA4	1.431	0.517	9.099E-04	Transcribed locus
MT1	1.703	0.768	9.103E-04	Metallothionein 1
GLTP	1.151	0.202	1.021E-03	Glycolipid transfer protein
STAU2	0.606	-0.721	1.060E-03	Staufen (RNA binding protein) homolog 2 (Drosophila)
ATP5S	0.744	-0.426	1.060E-03	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit s
PRDX5	1.442	0.528	1.114E-03	
UBE2D2	0.791	-0.338	1.159E-03	ubiquitin-conjugating enzyme E2D 2
RCSD1	0.888	-0.171	1.173E-03	
TRIM59	1.204	0.268	1.176E-03	Tripartite motif-containing 59
SEMA4A	1.849	0.887	1.192E-03	
DUSP1	2.727	1.447	1.202E-03	Transcribed locus
PDE2A	1.39	0.475	1.204E-03	Phosphodiesterase 2A, cGMP-stimulated
NEK6	0.697	-0.52	1.273E-03	NIMA (never in mitosis gene a)-related expressed kinase 6
FBXO39	1.656	0.727	1.277E-03	Novel protein containing an F-box domain
THTPA	0.692	-0.531	1.329E-03	Thiamine triphosphatase
HIST1H2BJ	0.568	-0.815	1.329E-03	Histone cluster 1, H2bj
CCL6	1.513	0.597	1.329E-03	Chemokine (C-C motif) ligand 6
E2F5	0.761	-0.393	1.347E-03	
SERPINE1	1.802	0.849	1.349E-03	Serine (or cysteine) peptidase inhibitor, clade E, member 1
RPS11	1.192	0.253	1.428E-03	Transcribed locus, moderately similar to XP_001099340.1 similar to ribosomal protein S11 isoform 2
CENTD3	0.709	-0.495	1.451E-03	
LOC100044468	0.861	-0.215	1.452E-03	
SERINC3	0.827	-0.275	1.502E-03	Transcribed locus
KPNB1	0.802	-0.319	1.545E-03	Karyopherin (importin) beta 1
EPSTI1	1.276	0.351	1.566E-03	
IFI30	1.361	0.444	1.576E-03	
NUP210	1.586	0.665	1.610E-03	Nucleoporin 210
TPM4	1.445	0.531	1.623E-03	Tropomyosin 4
TIAL1	1.639	0.713	1.645E-03	Tia1 cytotoxic granule-associated RNA binding protein-like 1
MMP14	1.239	0.309	1.650E-03	Matrix metallopeptidase 14 (membrane-inserted)
CPEB1	1.458	0.543	1.655E-03	Cytoplasmic polyadenylation element binding protein 1
HIST1H2BN	0.743	-0.428	1.656E-03	Histone cluster 1, H2bn
STK17B	0.789	-0.341	1.695E-03	Serine/threonine kinase 17b (apoptosis-inducing)
MGC18837	1.339	0.422	1.715E-03	
BC031748	0.706	-0.501	1.715E-03	
S100A8	4.108	2.039	1.715E-03	
IRF2BP1	0.706	-0.503	1.727E-03	Interferon regulatory factor 2 binding protein 1
ACTL6A	0.847	-0.24	1.727E-03	Actin-like 6A
VAT1	1.206	0.27	1.740E-03	Vesicle amine transport protein 1 homolog (T californica)
GPBP1	0.719	-0.477	1.740E-03	Transcribed locus
AOAH	1.335	0.417	1.740E-03	Acyloxyacyl hydrolase
COX6C	1.465	0.551	1.742E-03	
NAP1L4	0.871	-0.2	1.781E-03	Nucleosome assembly protein 1-like 4
MAP3K3	0.81	-0.305	1.850E-03	
2310011J03RIK	0.929	-0.107	1.863E-03	RIKEN cDNA 2310011J03 gene
SEPX1	1.681	0.75	1.875E-03	
SLC39A4	1.199	0.261	1.888E-03	Solute carrier family 39 (zinc transporter), member 4
MSRB2	0.703	-0.509	1.963E-03	Methionine sulfoxide reductase B2
RPL28	1.198	0.26	1.963E-03	Transcribed locus, moderately similar to XP_001113291.1 similar to ribosomal protein L28 [Macaca mu
AOF1	0.804	-0.314	1.969E-03	
LYZ1	1.703	0.768	1.975E-03	Lysozyme
PEG12	1.228	0.296	1.975E-03	Paternally expressed 12
TGFBRAP1	0.737	-0.44	1.984E-03	Transforming growth factor, beta receptor associated protein 1
LGALS1	1.679	0.748	1.984E-03	
P2RY12	0.887	-0.173	1.984E-03	Purinergic receptor P2Y, G-protein coupled 12
BCL9L	0.705	-0.505	1.996E-03	B-cell CLL/lymphoma 9-like
NUP43	0.866	-0.207	1.996E-03	Transcribed locus, moderately similar to XP_001068349.1 similar to Nucleoporin Nup43 [Rattus norveg
MRPS25	0.85	-0.235	2.015E-03	Mitochondrial ribosomal protein S25
PHF17	0.789	-0.342	2.019E-03	
UPF3A	0.773	-0.371	2.076E-03	UPF3 regulator of nonsense transcripts homolog A (yeast)
SLFN2	1.582	0.662	2.153E-03	Schlafen 2
PI4K2B	1.291	0.368	2.153E-03	Phosphatidylinositol 4-kinase type 2 beta
SERPINF1	0.725	-0.463	2.153E-03	Serine (or cysteine) peptidase inhibitor, clade F, member 1
D3UCLA1	1.3	0.379	2.156E-03	
SCCPDH	0.856	-0.224	2.164E-03	
LOC100047963	1.36	0.444	2.171E-03	
RGS2	0.725	-0.464	2.174E-03	Regulator of G-protein signaling 2
5730409E04RIK	0.571	-0.809	2.203E-03	RIKEN cDNA 5730409E04Rik gene
CUL1	0.736	-0.442	2.204E-03	Cullin 1
CIRBP	1.756	0.812	2.208E-03	Cold inducible RNA binding protein
GLUL	0.885	-0.176	2.240E-03	Glutamate-ammonia ligase (glutamine synthetase)
EGLN3	1.174	0.232	2.318E-03	EGL nine homolog 3 (C. elegans)
HIST1H2BF	0.556	-0.846	2.326E-03	
LAT2	1.094	0.13	2.341E-03	
VPS4A	0.77	-0.378	2.341E-03	Vacuolar protein sorting 4a (yeast)
SUCLA2	0.825	-0.277	2.342E-03	Succinate-Coenzyme A ligase, ADP-forming, beta subunit
SEMA4B	0.794	-0.333	2.389E-03	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (se
TXNDC15	0.869	-0.203	2.449E-03	Thioredoxin domain containing 15
RPL19	1.268	0.343	2.472E-03	
CTNND2	0.776	-0.367	2.474E-03	Catenin (cadherin associated protein), delta 2
CD22	1.426	0.512	2.505E-03	CD22 antigen
GOLM1	0.833	-0.264	2.514E-03	Golgi membrane protein 1
TNFAIP8L2	0.819	-0.287	2.557E-03	
MS4A4C	1.195	0.257	2.581E-03	
CD93	1.589	0.668	2.581E-03	Transcribed locus
RNGTT	0.817	-0.292	2.592E-03	RNA guanylyltransferase and 5'-phosphatase
S100A9	3.837	1.94	2.592E-03	S100 calcium binding protein A9 (calgranulin B)
CD180	1.329	0.41	2.596E-03	CD180 antigen
LDLRAD3	1.212	0.277	2.596E-03	Transcribed locus
CHST2	1.068	0.095	2.607E-03	Carbohydrate sulfotransferase 2
CCDC90B	0.689	-0.538	2.766E-03	Coiled-coil domain containing 90B
ATF3	1.362	0.446	2.859E-03	Activating transcription factor 3
CACYBP	0.789	-0.342	2.859E-03	Calcyclin binding protein
H2-K1	1.667	0.737	2.934E-03	Transcribed locus
SLC2A3	1.774	0.827	2.937E-03	Transcribed locus
SESN1	0.803	-0.316	2.942E-03	Sestrin 1
RAB21	1.23	0.299	2.953E-03	
YME1L1	0.709	-0.496	2.969E-03	YME1-like 1 (S. cerevisiae)
D19Ertd737e	0.803	-0.317	3.027E-03	
SPAG1	0.902	-0.149	3.027E-03	Transcribed locus
1110003E01RIK	1.293	0.371	3.027E-03	
EG630499	1.379	0.463	3.063E-03	
TMEM144	0.769	-0.379	3.063E-03	Transcribed locus
SUGT1	0.64	-0.644	3.101E-03	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)
ACOT10	1.347	0.429	3.207E-03	Acyl-CoA thioesterase 9
IER3	2.252	1.171	3.244E-03	Transcribed locus
ACOT7	1.167	0.223	3.251E-03	Acyl-CoA thioesterase 7
B930006L02RIK	0.758	-0.4	3.261E-03	
LOC100044776	0.751	-0.413	3.261E-03	
NRIP1	0.689	-0.538	3.296E-03	Nuclear receptor interacting protein 1
SRPRB	0.747	-0.421	3.297E-03	
SLAMF8	1.533	0.616	3.307E-03	SLAM family member 8
TXNL1	0.895	-0.16	3.322E-03	Thioredoxin-like 1
LOC100044692	1.22	0.287	3.355E-03	
OTTMUSG00000003802	0.93	-0.104	3.355E-03	
BC051142	1.236	0.305	3.466E-03	CDNA sequence BC051142
PLCL2	0.749	-0.416	3.467E-03	
PKM2	1.395	0.48	3.481E-03	
TM6SF1	0.733	-0.448	3.481E-03	
JAG1	1.311	0.391	3.550E-03	Jagged 1
TRIM25	1.447	0.533	3.572E-03	Tripartite motif protein 25
SEPW1	1.592	0.671	3.605E-03	
H2-T10	1.217	0.283	3.626E-03	
BC004044	1.245	0.316	3.651E-03	
SRXN1	1.348	0.43	3.651E-03	Sulfiredoxin 1 homolog (S. cerevisiae)
MMD	1.263	0.336	3.842E-03	Monocyte to macrophage differentiation-associated
SSB	0.845	-0.244	3.842E-03	Sjogren syndrome antigen B
TPD52	1.123	0.168	3.892E-03	Transcribed locus
NUP88	0.693	-0.53	3.928E-03	
RNF25	0.747	-0.421	4.006E-03	Ring finger protein 25
MIF	1.421	0.507	4.056E-03	Predicted gene, EG619750
PHF13	0.804	-0.315	4.057E-03	PHD finger protein 13
TM9SF2	0.789	-0.341	4.181E-03	Transmembrane 9 superfamily member 2
IMPACT	1.393	0.478	4.191E-03	Transcribed locus
LOC654467	1.263	0.336	4.238E-03	
H2-Q7	1.574	0.654	4.238E-03	
CYFIP2	2.629	1.395	4.306E-03	Cytoplasmic FMR1 interacting protein 2
AP3M1	0.755	-0.405	4.313E-03	Transcribed locus
PARP12	1.295	0.373	4.331E-03	Poly (ADP-ribose) polymerase family, member 12
IFI205	1.165	0.22	4.350E-03	Interferon activated gene 205
SNX15	0.743	-0.429	4.350E-03	Sorting nexin 15
GALNT12	0.824	-0.28	4.378E-03	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12
SLC2A1	1.26	0.334	4.462E-03	Solute carrier family 2 (facilitated glucose transporter), member 1
GUSB	1.122	0.166	4.462E-03	Glucuronidase, beta
H2-Q8	1.764	0.819	4.613E-03	
2410002O22RIK	0.683	-0.55	4.737E-03	
ATPBD3	0.735	-0.444	4.792E-03	
GSPT1	0.821	-0.285	4.848E-03	G1 to S phase transition 1
PIRA3	1.071	0.099	4.857E-03	
PLD1	0.812	-0.3	4.892E-03	Phospholipase D1
LOC100044439	1.712	0.775	4.907E-03	
MRPL49	0.774	-0.37	4.961E-03	Mitochondrial ribosomal protein L49
RAB39	0.833	-0.264	4.961E-03	RAB39, member RAS oncogene family
PLP2	1.221	0.289	4.961E-03	
RGS19	0.793	-0.335	4.985E-03	Regulator of G-protein signaling 19
CCDC117	0.794	-0.332	5.001E-03	
XDH	1.124	0.169	5.046E-03	Xanthine dehydrogenase
TNFRSF17	0.694	-0.528	5.121E-03	Tumor necrosis factor receptor superfamily, member 17
ENDOD1	0.881	-0.183	5.121E-03	Endonuclease domain containing 1
TRAF6	0.819	-0.288	5.122E-03	Tnf receptor-associated factor 6
RPS9	1.187	0.248	5.141E-03	Ribosomal protein S9
4930506M07RIK	1.375	0.459	5.176E-03	RIKEN cDNA 4930506M07 gene
P2RY5	0.87	-0.201	5.211E-03	
RELL1	1.595	0.673	5.231E-03	RELT-like 1
